NÂ° PAR,HEATMAP,HSV_HUE,HSV_SATURATION,HSV_VALUE,CONTRAST,TEXTURE
1,0.860530,0.774060,0.703046,0.813849,0.780688,0.780167
2,0.802981,0.726498,0.605386,0.798803,0.780229,0.777823
3,0.540794,0.600792,0.441372,0.518942,0.520122,0.435123
4,0.602312,0.370901,0.638670,0.589379,0.461764,0.509827
5,0.762876,0.621529,0.676431,0.655056,0.576886,0.869868
6,0.712232,0.582673,0.453345,0.536473,0.390201,0.707397
7,0.592981,0.652173,0.550875,0.670624,0.621085,0.652692
8,0.843295,0.884567,0.744944,0.694150,0.622855,0.748656
9,0.612191,0.660877,0.387358,0.585695,0.288222,0.642690
10,0.688071,0.623510,0.462695,0.512600,0.477469,0.674478
11,0.761121,0.658044,0.476069,0.591756,0.496457,0.593617
12,0.723235,0.396931,0.516353,0.519756,0.550066,0.727798
13,0.787137,0.669161,0.665181,0.767403,0.755430,0.826142
14,0.634724,0.364388,0.252081,0.408825,0.495534,0.437643
15,0.637490,0.769027,0.433440,0.555054,0.439803,0.620017
16,0.703724,0.662145,0.694840,0.735833,0.579079,0.710453
17,0.756695,0.810617,0.590914,0.718882,0.586558,0.740085
18,0.547781,0.762336,0.505101,0.639665,0.717664,0.437981
19,0.668052,0.632068,0.587854,0.607041,0.534932,0.756970
20,0.576814,0.665081,0.555980,0.653234,0.436669,0.745580
21,0.662513,0.335764,0.594437,0.575712,0.432634,0.531635
22,0.633326,0.300112,0.259574,0.341639,0.210960,0.661260
23,0.631456,0.621994,0.704366,0.592782,0.432361,0.637614
24,0.871458,0.911016,0.838258,0.736829,0.785559,0.795022
25,0.614796,0.550164,0.580718,0.885886,0.700471,0.745880
26,0.771662,0.601485,0.740766,0.695300,0.560486,0.749208
27,0.682389,0.372994,0.357665,0.447640,0.275305,0.647380
28,0.590096,0.465909,0.437081,0.376265,0.345714,0.755154
29,0.396099,0.650406,0.408498,0.544874,0.414653,0.468009
30,0.537239,0.695071,0.386516,0.483171,0.460025,0.727073
31,0.591236,0.336958,0.522181,0.520197,0.434303,0.657000
32,0.745312,0.651842,0.466352,0.518237,0.696379,0.730294
33,0.539320,0.461964,0.545614,0.445016,0.416624,0.686628
34,0.764279,0.641266,0.510198,0.818299,0.815915,0.802763
35,0.794005,0.673577,0.738081,0.700929,0.592666,0.882683
36,0.767984,0.548285,0.621462,0.582893,0.535384,0.635399
37,0.724462,0.566634,0.370204,0.454054,0.404816,0.567577
38,0.521723,0.423335,0.596589,0.497475,0.518287,0.587127
39,0.774214,0.381450,0.700877,0.653038,0.626435,0.742396
40,0.758318,0.717668,0.681971,0.612319,0.544924,0.754969
41,0.700026,0.546643,0.598266,0.473321,0.502768,0.637316
42,0.796109,0.589006,0.511844,0.799688,0.811291,0.633252
43,0.902497,0.745043,0.807211,0.890167,0.722861,0.762419
44,0.702078,0.569594,0.685767,0.745133,0.603150,0.537045
45,0.705730,0.513146,0.546417,0.749939,0.603723,0.770687
46,0.737736,0.378346,0.815867,0.760361,0.701608,0.794005
47,0.742157,0.257158,0.482681,0.553587,0.530123,0.689197
48,0.685729,0.271448,0.474228,0.552242,0.578343,0.803106
49,0.654398,0.412240,0.544181,0.547735,0.571174,0.741756
50,0.786586,0.428444,0.505251,0.493611,0.692879,0.702798
51,0.876981,0.848292,0.822710,0.734616,0.765585,0.815857
52,0.752225,0.638431,0.653677,0.736822,0.695863,0.766585
53,0.835424,0.628930,0.692917,0.803634,0.822082,0.802420
54,0.886500,0.529031,0.647678,0.858212,0.727309,0.896233
55,0.835585,0.752425,0.644523,0.810107,0.807033,0.690550
56,0.863686,0.652362,0.702329,0.790305,0.793605,0.829519
57,0.687917,0.887320,0.746874,0.803495,0.783869,0.786079
58,0.878513,0.710559,0.774109,0.856101,0.780191,0.794760
59,0.889282,0.686799,0.756343,0.856380,0.771148,0.906503
60,0.900878,0.590241,0.659802,0.785978,0.697992,0.855496
61,0.910629,0.730087,0.674859,0.818571,0.809464,0.840989
62,0.714853,0.648922,0.653650,0.693314,0.591740,0.760751
63,0.644052,0.758713,0.610943,0.729274,0.669424,0.737628
64,0.815425,0.613516,0.378154,0.531607,0.423119,0.716193
65,0.681677,0.397848,0.457857,0.578492,0.540463,0.550358
66,0.831245,0.812802,0.582268,0.767288,0.623424,0.845664
67,0.663564,0.555104,0.511934,0.571926,0.562673,0.764296
68,0.565275,0.589667,0.561663,0.593625,0.499512,0.491842
69,0.497348,0.725070,0.527969,0.562705,0.389045,0.778006
70,0.727291,0.750343,0.592404,0.714108,0.643806,0.775599
71,0.874343,0.512589,0.703009,0.852215,0.760584,0.798892
72,0.677841,0.455486,0.671906,0.515041,0.742801,0.666805
73,0.465092,0.437650,0.204000,0.218863,0.204114,0.357065
74,0.805343,0.555054,0.662953,0.567336,0.557724,0.784414
75,0.746246,0.374425,0.669954,0.748568,0.704329,0.861593
76,0.749352,0.716098,0.612443,0.620057,0.630942,0.676305
77,0.784123,0.729370,0.720268,0.706557,0.627382,0.783669
78,0.796787,0.465924,0.732896,0.765808,0.510351,0.808350
79,0.807192,0.878799,0.710948,0.837760,0.697715,0.792679
80,0.726047,0.632723,0.685022,0.818757,0.757312,0.699439
81,0.803031,0.909155,0.612868,0.814425,0.811374,0.773646
82,0.841221,0.215945,0.190707,0.733151,0.683854,0.824611
83,0.819065,0.543781,0.757626,0.842735,0.802099,0.824202
84,0.778005,0.665833,0.764187,0.830542,0.840569,0.761733
85,0.554161,0.711521,0.724211,0.581921,0.531187,0.733245
86,0.812285,0.714081,0.475123,0.564102,0.526247,0.605772
87,0.796102,0.489311,0.652626,0.755630,0.702396,0.674734
88,0.683178,0.725437,0.728995,0.584620,0.667351,0.743371
89,0.807784,0.652163,0.629824,0.778432,0.691341,0.795644
90,0.874576,0.549440,0.749673,0.783095,0.614731,0.871404
91,0.441000,0.351543,0.358461,0.538825,0.529297,0.677102
92,0.819657,0.720603,0.683018,0.756221,0.724244,0.899445
93,0.836878,0.731793,0.532172,0.616642,0.445821,0.813541
94,0.749930,0.382458,0.659618,0.632679,0.557196,0.852282
95,0.770833,0.557799,0.749493,0.799964,0.775302,0.837986
96,0.696725,0.632383,0.530371,0.606720,0.555851,0.539413
97,0.816977,0.714209,0.796695,0.862047,0.719732,0.839015
98,0.763554,0.805446,0.730215,0.774785,0.665834,0.759917
99,0.912079,0.825860,0.712137,0.883821,0.730228,0.881894
100,0.760321,0.750965,0.832949,0.750157,0.788878,0.700149
